"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g652.t1"	0	0	0	0	0	0	25	0	0	0	0	0
"g13060.t2"	0	0	0	0	0	0	3	0	0	0	0	0
"g13060.t3"	0	0	0	0	0	0	0	0	0	0	0	0
"g19004.t1"	1716	333	983	121	662	1858	132	83	346	20	55	63
"g15806.t1"	0	0	4	0	5	0	2	0	0	0	0	0
"g6222.t1"	604	580	533	784	447	256	717	588	549	747	392	686
"g2417.t1"	16	11	14	2	0	7	80	4	2	17	0	8
"g7921.t1"	79	80	50	0	32	33	94	54	13	53	12	43
"g11377.t1"	30	29	43	72	26	28	52	100	100	24	128	51
"g5440.t1"	78	43	76	115	37	35	64	54	191	46	42	137
"g249.t1"	0	37	14	0	0	6	26	18	0	0	0	19
"g6595.t1"	242	154	156	170	212	215	215	122	72	99	152	93
"g547.t1"	203	328	83	4	19	28	106	18	58	55	0	92
"g16395.t1"	11	4	47	0	0	0	29	0	0	4	0	22
"g10437.t1"	0	3	3	0	0	0	0	0	0	0	0	1
"g12819.t1"	522	2129	552	19	157	229	57	77	44	0	0	21
"g20763.t1"	35	65	66	0	0	22	31	14	0	2	0	75
"g12942.t1"	4	4	0	0	0	0	0	0	0	0	0	0
"g2596.t1"	28	37	37	0	0	19	76	66	64	170	65	34
"g13740.t1"	39	96	35	49	14	20	162	79	101	161	80	105
"g18210.t1"	16170	19478	11623	13658	13283	15955	14561	9848	10453	13995	4502	12247
"g8012.t1"	2	1	0	0	3	2	3	0	0	0	0	1
"g10435.t1"	125	81	116	107	23	61	234	287	300	206	222	205
"g15049.t1"	2271	1318	1012	2014	1947	1648	1273	1109	1061	1838	885	1875
"g23138.t3"	0	0	0	0	0	0	0	0	0	0	0	0
"g23138.t2"	352	377	290	184	272	295	479	188	194	256	76	210
"g23138.t5"	80	53	27	10	16	0	31	7	10	0	0	0
"g23138.t4"	1035	1032	753	830	789	692	1172	443	542	531	761	544
"g18138.t1"	475	387	316	343	527	928	608	469	357	488	333	400
"g23138.t6"	0	4	2	0	1	0	0	2	0	0	0	0
"g11124.t1"	0	23	0	0	0	0	5	3	0	0	0	0
"g1303.t1"	8	20	10	14	8	0	2	0	0	20	0	0
"g12171.t1"	307	1601	2412	0	17	2181	0	65	140	0	161	44
"g13742.t1"	5	57	21	0	0	14	0	17	4	0	0	0
"g19919.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16228.t1"	664	417	625	835	193	215	763	374	332	561	1004	330
"g206.t1"	880	343	1102	1277	839	1219	3171	2878	2554	1457	2092	1747
"g21528.t1"	2342	1855	1708	2579	1956	1535	1184	789	849	1267	1161	1041
"g12459.t1"	829	393	503	750	340	525	1556	1089	1190	708	1204	626
"g6597.t1"	41	66	42	29	23	16	73	63	47	105	0	24
"g20849.t1"	3	5	14	0	0	0	30	0	0	0	0	0
"g15635.t1"	3	14	7	0	0	2	19	14	10	23	18	14
"g13761.t1"	0	0	0	0	0	0	42	0	0	38	0	0
