transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
62	g16019.t1	1175.94166618743	3.41428913834439	0.841849304409073	4.05570108624252	4.99841488321321e-05	0.0180048844757087	4727	4699	1940	36	189	33	2095	857	298	321	6	244
63	g23104.t1	1407.92029667908	-1.96875872216194	0.496790819636319	-3.96295310690966	7.40283266581401e-05	0.0218540593425334	640	364	628	448	2171	1723	1390	1000	214	3050	2197	2277
64	g14901.t1	63.2941230750128	9.24038693059312	2.38007982693316	3.88238529902578	0.000103436810590354	0.0276077098293488	159	302	0	0	0	0	1	363	0	0	0	0
65	g1326.t1	5424.78555522366	4.37958218993049	1.08542193384277	4.03491218795004	5.46227219178602e-05	0.0186713879622384	8428	55296	613	45	20	321	145	934	154	171	86	94
66	g241.t3	44.5224098217257	5.80131000957281	1.12016246064729	5.17898984600902	2.23090610717917e-07	0.000292228790425255	120	211	199	0	0	4	11	6	0	0	0	0
67	g6700.t1	14041.63126766	-1.42995169513964	0.360492754299681	-3.9666586306778	7.28872706280202e-05	0.0218540593425334	15952	5580	9723	19317	29147	22019	5323	4964	3333	7304	10510	6039
68	g10969.t1	1137.81662830756	5.11797361164279	1.32701174966295	3.85676585979192	0.000114897121750142	0.0298487402690636	1989	11473	26	30	0	16	9	321	13	39	13	15
69	g23094.t1	42.4432410667289	-1.81510513771663	0.443314735807589	-4.0943938721325	4.23274236911291e-05	0.0171814067332908	13	9	7	31	19	18	67	27	23	119	182	39
70	g362.t1	1493.74967944922	0.544260149638662	0.146014615901825	3.72743609451128	0.000193437587387238	0.0428288403710562	1561	1451	1309	802	537	853	3813	2378	2423	2162	1114	1543
71	g20825.t2	213.787996957989	7.81696423843558	2.03170280500888	3.84749394407683	0.000119332226000958	0.0305930143605614	400	1168	768	0	12	0	430	0	0	0	0	0
72	g15129.t1	245.495513545194	3.68584857515341	0.997536763725486	3.69495011029762	0.000219929966485862	0.0470891809561597	1077	1038	414	2	4	56	159	290	25	43	0	35
73	g19065.t1	37.9579317882544	-1.24578064385753	0.268975103942659	-4.63158346477713	3.62879652796942e-06	0.00252512398396272	13	20	21	40	26	41	56	22	34	66	65	62
74	g782.t1	965.047951498212	6.28753440353786	1.6625444411627	3.7818744857976	0.000155651843346885	0.0361038156639371	2438	9116	21	0	18	9	0	220	23	11	0	0
75	g10608.t1	2344.9062195141	5.92174584315194	1.35518429730296	4.36969780046685	1.24418597163393e-05	0.00728023357168389	5374	22694	41	21	5	23	24	534	27	61	0	11
76	g5607.t1	251.384689159593	24.6012972831167	2.92930360240318	8.39834330007102	4.52821713491271e-17	2.20569456641598e-13	154	2869	0	0	0	0	4	28	0	0	0	0
77	g2330.t1	14.0736110288989	6.13077688199484	1.43586724054572	4.26973797359202	1.95702743195858e-05	0.00919551961316326	40	82	41	0	0	0	0	3	8	0	0	0
78	g6661.t1	9.76439271993197	6.43020611599666	1.2507744298135	5.14097983035633	2.73309395532837e-07	0.000332822516410112	68	8	13	0	0	0	32	11	6	0	0	0
79	g20615.t1	18.2548630550915	-4.85512140104971	1.01458607508265	-4.78532233024607	1.70713141162761e-06	0.00151189765564328	0	0	0	6	16	17	10	6	0	17	89	56
80	g4312.t1	1884.68805514979	-1.63368803926403	0.410861243049111	-3.97625248645989	7.00097937587242e-05	0.0218540593425334	794	456	1024	1563	3370	2131	1774	1513	944	2583	2568	1865
81	g1664.t1	1124.67320370864	1.16719903576784	0.293936644178135	3.97092046495733	7.15954797898139e-05	0.0218540593425334	1752	2977	1648	473	456	757	1540	1328	1292	830	326	760
82	g1077.t1	66.3023766939496	23.0626171239452	2.57511263539381	8.95596441373455	3.36778622211135e-19	3.28089733758087e-15	16	777	0	0	0	0	0	11	0	0	0	0
83	g11651.t4	73.8497447203202	9.08796578964116	1.52845489463341	5.94585147494381	2.75023438083303e-09	6.69819583451884e-06	132	489	133	0	0	0	82	115	0	0	0	0
84	g18628.t3	11.7468366319032	5.77595047301963	1.51825708034834	3.80432968025047	0.000142188705312512	0.0346300591788623	10	98	28	0	0	0	4	5	0	0	0	0
85	g19024.t2	63.1878614524832	-6.15618247419653	0.994951947508947	-6.18741687938771	6.11580758396306e-10	1.70229135665623e-06	4	7	12	183	151	18	0	0	0	19	156	46
86	g11398.t3	30.0468134807085	3.45064754753173	0.891884481211057	3.86894000313383	0.00010930953315748	0.0287809046491938	59	88	125	0	6	6	33	27	27	0	0	9
87	g10460.t2	71.9575919387354	1.21461908073937	0.329528548613631	3.68592974978779	0.000227869206634261	0.0482587350224125	117	86	131	28	13	46	165	81	125	33	66	59
88	g8443.t1	15.7222785375854	4.22004924454113	1.11086911167112	3.79887171243131	0.000145356302205249	0.0349644715082354	17	102	15	0	3	10	14	18	16	0	0	0
89	g14902.t1	89.0307178329037	23.8275832370812	2.75848816658005	8.63791388549708	5.7248742720036e-18	3.71811501052394e-14	197	601	0	0	0	0	0	337	0	0	0	0
90	g22158.t1	203.085028345857	24.6353751387711	3.00697527243947	8.19274284180764	2.55339349036748e-16	8.29171979438665e-13	104	2340	0	0	0	0	0	21	0	0	0	0
91	g7620.t1	207787.736736937	-0.732684203105853	0.156191464270269	-4.69093625909057	2.71957692800919e-06	0.00215601449466319	194698	176682	192666	199807	159001	279220	204191	143932	161210	249393	285610	209089
92	g4212.t1	15.0914392975719	4.95821671140994	1.21757436778876	4.07220851767318	4.65694597782213e-05	0.0173707951316209	13	39	78	0	0	7	46	6	13	0	0	0
